epoch,loss,score_at_1,recall_at_1,mrr,ndcg_at_k,consensus_hit_rate
1,0.9964,0.2703,0.1111,0.3334,0.4922,0.1228
2,0.9659,0.2774,0.1014,0.3455,0.5217,0.1111
3,0.9289,0.2891,0.1423,0.3716,0.5441,0.1248
4,0.8837,0.3518,0.1969,0.4221,0.5915,0.1559
5,0.8121,0.4084,0.2339,0.4634,0.6453,0.2047
