experiment_name,model_type,encoder_type,loss_type,status,best_epoch,best_val_score_at_1,test_score_at_1,test_recall_at_1,test_mrr,test_ndcg,batch_size,num_epochs,lr,device,checkpoint_path,metrics_path,notes
similarity,similarity,gru,hinge,completed,1,0.2917,0.2564,0.1692,0.3898,0.487,32,5,0.001,cpu,results/similarity/best.pt,results/similarity/test_metrics.json,Reduced run on CPU for 5 epochs using README-documented entry points with python3 instead of python.
preference,preference,gru,hinge,completed,4,0.3125,0.2615,0.1692,0.3774,0.5209,32,5,0.001,cpu,results/preference/best.pt,results/preference/test_metrics.json,Reduced run on CPU for 5 epochs using README-documented entry points with python3 instead of python.
