epoch,train_loss,train_score_at_1,train_recall_at_1,train_mrr,train_ndcg_at_k,train_consensus_hit_rate,val_loss,val_score_at_1,val_recall_at_1,val_mrr,val_ndcg_at_k,val_consensus_hit_rate
1,0.9978,0.2859,0.1404,0.3559,0.4971,0.154,1.0012,0.2917,0.125,0.3688,0.5113,0.1094
2,0.972,0.3424,0.1969,0.414,0.5707,0.1715,1.0001,0.2812,0.125,0.3695,0.525,0.0938
3,0.9541,0.3957,0.232,0.4522,0.6098,0.2183,1.0,0.2344,0.1094,0.3514,0.4943,0.0625
4,0.9401,0.4094,0.232,0.4571,0.6239,0.2359,0.999,0.2604,0.1094,0.3532,0.4956,0.0938
5,0.9245,0.4146,0.2515,0.473,0.6443,0.232,0.9991,0.2135,0.0938,0.3255,0.4585,0.0781
